time,temperature_2m,relative_humidity_2m,precipitation,rain,showers,surface_pressure,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m
2024-07-19 00:00:00,27.746,51.342747,0.0,0.0,0.0,1008.92883,83.0,,6.9247384,11.159999
2024-07-19 01:00:00,24.396,63.192825,0.0,0.0,0.0,1010.7808,100.0,,9.107359,10.08
2024-07-19 02:00:00,24.696,57.31967,0.0,0.0,0.0,1011.482,95.0,,10.805998,16.199999
2024-07-19 03:00:00,23.296,56.978546,0.0,0.0,0.0,1011.9627,3.0,,13.661038,21.599998
2024-07-19 04:00:00,22.246,58.787365,0.0,0.0,0.0,1012.4476,1.0,,15.034041,24.119999
2024-07-19 05:00:00,21.446,61.33013,0.0,0.0,0.0,1012.83594,0.0,,15.629972,24.84
2024-07-19 06:00:00,20.646,63.793682,0.0,0.0,0.0,1012.8257,0.0,,15.546833,25.199999
2024-07-19 07:00:00,19.796,64.65465,0.0,0.0,0.0,1013.1136,4.0,,14.618837,25.199999
2024-07-19 08:00:00,19.046,65.558914,0.0,0.0,0.0,1013.3033,0.0,,14.973576,24.48
2024-07-19 09:00:00,18.396,68.05412,0.0,0.0,0.0,1013.79285,0.0,,13.797912,24.48
2024-07-19 10:00:00,17.896,71.61981,0.0,0.0,0.0,1014.18463,0.0,,12.324414,22.68
2024-07-19 11:00:00,18.746,72.010376,0.0,0.0,0.0,1014.7936,0.0,,10.390226,20.16
2024-07-19 12:00:00,20.346,67.12966,0.0,0.0,0.0,1015.5116,0.0,,12.371645,22.68
2024-07-19 13:00:00,22.596,59.445347,0.0,0.0,0.0,1016.3376,0.0,,12.599999,27.0
2024-07-19 14:00:00,24.046,54.11116,0.0,0.0,0.0,1016.3558,0.0,,10.086427,25.199999
2024-07-19 15:00:00,25.246,48.442215,0.0,0.0,0.0,1016.1716,0.0,,9.6932955,23.039999
2024-07-19 16:00:00,26.296,44.203682,0.0,0.0,0.0,1015.9853,0.0,,9.511088,23.039999
2024-07-19 17:00:00,27.146,41.365246,0.0,0.0,0.0,1015.7965,0.0,,9.957108,23.759998
2024-07-19 18:00:00,27.796,39.56121,0.0,0.0,0.0,1015.4059,0.0,,11.709688,25.56
2024-07-19 19:00:00,28.346,38.18805,0.0,0.0,0.0,1015.01416,3.0,,13.746156,27.72
2024-07-19 20:00:00,28.796,37.447437,0.0,0.0,0.0,1014.6212,20.0,,12.88981,28.08
2024-07-19 21:00:00,28.846,36.25398,0.0,0.0,0.0,1014.2233,14.0,,11.113451,25.919998
2024-07-19 22:00:00,28.796,33.5922,0.0,0.0,0.0,1014.02344,10.0,,9.693296,21.599998
2024-07-19 23:00:00,28.796,36.002697,0.0,0.0,0.0,1013.8241,0.0,,4.452954,18.0
2024-07-20 00:00:00,25.696,49.514854,0.0,0.0,0.0,1014.4834,1.0,,10.799999,16.919998
2024-07-20 01:00:00,23.496,63.397217,0.0,0.0,0.0,1015.7513,19.0,,6.3690495,9.36
2024-07-20 02:00:00,22.996,62.081932,0.0,0.0,0.0,1016.0439,51.0,,7.2,11.159999
2024-07-20 03:00:00,22.196,68.374596,0.0,0.0,0.0,1016.1333,70.0,,8.699793,13.679999
2024-07-20 04:00:00,21.196,74.79693,0.0,0.0,0.0,1016.2201,98.0,,8.225035,13.679999
2024-07-20 05:00:00,20.296,79.05799,0.0,0.0,0.0,1016.2084,100.0,,6.8777895,13.32
2024-07-20 06:00:00,19.596,81.25799,0.0,0.0,0.0,1016.09985,100.0,,5.815978,10.440001
2024-07-20 07:00:00,18.746,84.053795,0.0,0.0,0.0,1015.88947,100.0,,6.4799995,9.0
2024-07-20 08:00:00,18.496,83.75736,0.0,0.0,0.0,1015.68695,87.0,,5.0911684,9.0
2024-07-20 09:00:00,17.696,87.23221,0.0,0.0,0.0,1015.77606,100.0,,7.2,9.0
2024-07-20 10:00:00,18.296,84.27266,0.0,0.0,0.0,1015.8837,100.0,,5.4477882,9.36
2024-07-20 11:00:00,19.696,77.22451,0.0,0.0,0.0,1016.2007,100.0,,4.39436,8.28
2024-07-20 12:00:00,22.146,66.639084,0.0,0.0,0.0,1016.5312,96.0,,3.6,10.799999
2024-07-20 13:00:00,24.796,59.961483,0.0,0.0,0.0,1016.16614,100.0,,5.1544156,13.679999
2024-07-20 14:00:00,26.046,57.10011,0.0,0.0,0.0,1016.1817,100.0,,6.849467,17.28
2024-07-20 15:00:00,27.096,56.2801,0.0,0.0,0.0,1015.8955,100.0,,5.1919937,17.28
2024-07-20 16:00:00,27.896,56.474674,0.2,0.2,0.0,1015.7062,100.0,,13.896187,27.72
2024-07-20 17:00:00,25.896,68.24467,1.9,1.9,0.0,1015.3826,100.0,,6.489992,30.960001
2024-07-20 18:00:00,27.946,56.13401,0.0,0.0,0.0,1014.90967,100.0,,15.349684,27.72
2024-07-20 19:00:00,28.746,46.32988,0.0,0.0,0.0,1014.3217,100.0,,17.610588,33.839996
2024-07-20 20:00:00,28.646,46.897526,0.0,0.0,0.0,1013.7226,100.0,,16.641972,31.68
2024-07-20 21:00:00,28.246,49.238163,0.0,0.0,0.0,1013.41895,100.0,,13.104198,29.519999
2024-07-20 22:00:00,27.946,51.88476,0.0,0.0,0.0,1013.11615,100.0,,10.495713,22.68
2024-07-20 23:00:00,26.996,58.78853,0.0,0.0,0.0,1012.70624,100.0,,9.007196,18.359999
2024-07-21 00:00:00,25.896,66.36075,0.0,0.0,0.0,1012.7921,100.0,,5.4119864,15.119999
2024-07-21 01:00:00,25.196,65.597145,0.0,0.0,0.0,1013.87933,100.0,,5.1919937,15.119999
2024-07-21 02:00:00,25.096,61.571796,0.0,0.0,0.0,1014.1773,100.0,,7.2,10.799999
2024-07-21 03:00:00,24.396,63.39334,0.0,0.0,0.0,1013.9691,100.0,,11.246759,17.64
