time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone
2024-11-19 23:00:00,25.8,25.5,525.0,53.3,12.0
2024-11-20 00:00:00,28.5,28.2,590.0,62.1,0.0
2024-11-20 01:00:00,36.1,35.9,578.0,61.3,0.0
2024-11-20 02:00:00,37.6,37.3,528.0,60.3,0.0
2024-11-20 03:00:00,37.5,37.3,491.0,59.3,0.0
2024-11-20 04:00:00,31.8,31.4,480.0,58.6,1.0
2024-11-20 05:00:00,27.4,27.1,483.0,58.0,2.0
2024-11-20 06:00:00,25.1,24.8,520.0,57.2,3.0
2024-11-20 07:00:00,25.9,25.6,628.0,56.0,2.0
2024-11-20 08:00:00,25.8,25.5,769.0,54.5,1.0
2024-11-20 09:00:00,24.9,24.6,852.0,53.3,0.0
2024-11-20 10:00:00,23.7,23.4,826.0,52.3,0.0
2024-11-20 11:00:00,24.9,24.5,742.0,51.5,0.0
2024-11-20 12:00:00,26.4,26.1,662.0,46.7,0.0
2024-11-20 13:00:00,27.5,27.2,608.0,48.0,3.0
2024-11-20 14:00:00,22.4,22.1,559.0,49.6,6.0
2024-11-20 15:00:00,18.0,17.6,512.0,50.4,11.0
2024-11-20 16:00:00,16.3,16.0,466.0,48.9,18.0
2024-11-20 17:00:00,14.1,13.9,421.0,46.5,26.0
2024-11-20 18:00:00,13.0,12.8,382.0,45.9,31.0
2024-11-20 19:00:00,12.4,12.2,343.0,49.3,29.0
2024-11-20 20:00:00,12.0,11.8,310.0,54.6,24.0
2024-11-20 21:00:00,12.1,11.8,295.0,58.1,19.0
2024-11-20 22:00:00,14.6,13.9,320.0,59.0,15.0
2024-11-20 23:00:00,14.3,12.9,364.0,58.1,12.0
2024-11-21 00:00:00,16.7,15.3,382.0,55.4,8.0
2024-11-21 01:00:00,14.7,13.0,347.0,48.3,14.0
2024-11-21 02:00:00,12.9,10.9,287.0,38.4,23.0
2024-11-21 03:00:00,12.0,9.9,237.0,29.4,32.0
2024-11-21 04:00:00,10.3,8.4,212.0,22.6,40.0
2024-11-21 05:00:00,8.7,7.1,197.0,16.8,47.0
2024-11-21 06:00:00,7.7,6.3,186.0,12.4,53.0
2024-11-21 07:00:00,6.0,4.8,174.0,9.1,58.0
2024-11-21 08:00:00,4.7,3.7,165.0,7.3,62.0
2024-11-21 09:00:00,3.7,2.9,164.0,8.5,61.0
2024-11-21 10:00:00,3.3,2.7,174.0,15.2,53.0
2024-11-21 11:00:00,3.7,3.3,191.0,25.0,41.0
2024-11-21 12:00:00,6.3,5.8,210.0,34.5,31.0
2024-11-21 13:00:00,6.3,5.9,231.0,35.5,29.0
2024-11-21 14:00:00,6.9,6.6,254.0,36.9,26.0
2024-11-21 15:00:00,7.1,6.9,269.0,37.4,25.0
2024-11-21 16:00:00,6.3,6.1,269.0,35.7,26.0
2024-11-21 17:00:00,5.7,5.5,261.0,33.1,28.0
2024-11-21 18:00:00,5.5,5.3,260.0,32.4,29.0
2024-11-21 19:00:00,6.1,5.9,276.0,35.9,26.0
2024-11-21 20:00:00,7.0,6.8,299.0,41.3,21.0
2024-11-21 21:00:00,7.5,7.3,306.0,44.8,18.0
2024-11-21 22:00:00,7.6,7.4,282.0,44.4,20.0
2024-11-21 23:00:00,7.3,7.2,241.0,42.1,24.0
2024-11-22 00:00:00,4.8,4.7,211.0,31.2,32.0
2024-11-22 01:00:00,4.6,4.5,202.0,28.3,36.0
2024-11-22 02:00:00,3.5,3.4,203.0,24.2,41.0
2024-11-22 03:00:00,2.3,2.2,203.0,20.6,44.0
2024-11-22 04:00:00,1.4,1.3,199.0,18.4,44.0
2024-11-22 05:00:00,1.2,1.2,194.0,16.7,43.0
2024-11-22 06:00:00,1.1,1.1,189.0,15.0,42.0
2024-11-22 07:00:00,1.0,1.0,184.0,12.7,43.0
2024-11-22 08:00:00,1.4,1.4,180.0,10.4,45.0
2024-11-22 09:00:00,1.5,1.4,180.0,9.6,46.0
2024-11-22 10:00:00,2.2,2.1,186.0,11.5,44.0
2024-11-22 11:00:00,3.3,3.3,195.0,15.0,41.0
2024-11-22 12:00:00,2.3,2.2,206.0,17.0,38.0
2024-11-22 13:00:00,3.7,3.6,220.0,17.9,34.0
2024-11-22 14:00:00,4.7,4.6,236.0,19.1,30.0
2024-11-22 15:00:00,4.7,4.6,247.0,20.2,26.0
2024-11-22 16:00:00,4.6,4.5,249.0,20.7,25.0
2024-11-22 17:00:00,4.9,4.8,247.0,21.0,26.0
2024-11-22 18:00:00,5.5,5.4,245.0,22.4,25.0
2024-11-22 19:00:00,5.7,5.6,246.0,25.6,22.0
2024-11-22 20:00:00,5.8,5.7,248.0,29.9,17.0
2024-11-22 21:00:00,6.4,6.3,251.0,33.8,13.0
2024-11-22 22:00:00,6.7,6.5,255.0,36.9,9.0
2024-11-22 23:00:00,6.6,6.5,261.0,39.6,6.0
2024-11-23 00:00:00,14.1,13.8,271.0,44.0,2.0
2024-11-23 01:00:00,10.8,10.5,290.0,44.7,1.0
2024-11-23 02:00:00,9.7,9.3,314.0,45.5,0.0
2024-11-23 03:00:00,10.0,9.7,326.0,45.7,0.0
2024-11-23 04:00:00,9.7,9.3,318.0,45.2,2.0
2024-11-23 05:00:00,8.8,8.2,299.0,44.0,5.0
2024-11-23 06:00:00,8.3,7.5,281.0,41.0,10.0
2024-11-23 07:00:00,8.6,7.6,265.0,34.3,18.0
2024-11-23 08:00:00,9.1,7.9,249.0,25.7,27.0
2024-11-23 09:00:00,9.3,8.1,239.0,19.7,34.0
2024-11-23 10:00:00,8.3,7.3,241.0,18.9,37.0
2024-11-23 11:00:00,6.4,5.8,249.0,20.6,38.0
2024-11-23 12:00:00,9.8,8.7,253.0,24.0,31.0
2024-11-23 13:00:00,8.2,7.4,249.0,22.7,35.0
2024-11-23 14:00:00,8.6,7.7,241.0,20.7,41.0
2024-11-23 15:00:00,9.1,7.9,231.0,18.1,47.0
2024-11-23 16:00:00,7.1,6.2,217.0,13.9,53.0
2024-11-23 17:00:00,3.5,3.2,202.0,9.1,58.0
2024-11-23 18:00:00,2.5,2.4,192.0,6.2,62.0
2024-11-23 19:00:00,2.7,2.6,193.0,6.8,63.0
2024-11-23 20:00:00,2.8,2.7,201.0,9.4,61.0
2024-11-23 21:00:00,3.4,3.3,207.0,12.2,59.0
2024-11-23 22:00:00,4.2,4.1,209.0,14.9,56.0
2024-11-23 23:00:00,4.8,4.7,209.0,17.7,53.0
2024-11-24 00:00:00,6.9,6.7,209.0,20.5,50.0
2024-11-24 01:00:00,6.2,6.1,210.0,19.9,47.0
2024-11-24 02:00:00,5.6,5.5,210.0,18.9,44.0
2024-11-24 03:00:00,4.7,4.6,207.0,17.3,43.0
2024-11-24 04:00:00,3.8,3.8,197.0,14.3,46.0
2024-11-24 05:00:00,3.3,3.3,184.0,10.7,51.0
2024-11-24 06:00:00,3.0,2.9,174.0,8.0,55.0
2024-11-24 07:00:00,2.9,2.8,167.0,6.7,59.0
2024-11-24 08:00:00,2.9,2.9,162.0,6.4,62.0
2024-11-24 09:00:00,3.0,3.0,164.0,7.6,63.0
2024-11-24 10:00:00,3.2,3.2,179.0,11.9,59.0
2024-11-24 11:00:00,3.7,3.7,202.0,17.8,52.0
2024-11-24 12:00:00,3.6,3.5,216.0,19.5,52.0
2024-11-24 13:00:00,4.9,4.9,214.0,17.0,55.0
2024-11-24 14:00:00,5.0,5.0,204.0,13.5,59.0
2024-11-24 15:00:00,4.0,3.9,194.0,10.6,63.0
2024-11-24 16:00:00,3.4,3.3,186.0,8.6,67.0
2024-11-24 17:00:00,3.3,3.3,179.0,7.2,70.0
2024-11-24 18:00:00,3.2,3.2,179.0,7.3,71.0
2024-11-24 19:00:00,3.5,3.4,189.0,9.4,68.0
2024-11-24 20:00:00,4.1,4.1,205.0,13.0,64.0
2024-11-24 21:00:00,5.1,5.1,222.0,17.8,57.0
2024-11-24 22:00:00,6.4,6.3,244.0,24.6,48.0
2024-11-24 23:00:00,7.5,7.4,267.0,32.6,37.0
2024-11-25 00:00:00,12.5,12.1,278.0,25.7,47.0
2024-11-25 01:00:00,11.8,11.4,267.0,26.7,45.0
2024-11-25 02:00:00,11.5,11.2,244.0,27.9,42.0
2024-11-25 03:00:00,11.4,11.1,226.0,27.4,41.0
2024-11-25 04:00:00,10.7,10.5,220.0,23.8,43.0
2024-11-25 05:00:00,9.7,9.6,218.0,18.5,48.0
2024-11-25 06:00:00,9.0,8.9,216.0,14.4,51.0
2024-11-25 07:00:00,8.5,8.3,207.0,11.5,54.0
2024-11-25 08:00:00,8.2,8.1,197.0,9.8,56.0
2024-11-25 09:00:00,8.1,7.9,202.0,11.5,54.0
2024-11-25 10:00:00,8.4,8.3,237.0,20.4,43.0
2024-11-25 11:00:00,10.0,9.9,286.0,32.8,29.0
2024-11-25 12:00:00,8.1,8.0,317.0,32.4,29.0
2024-11-25 13:00:00,10.0,10.0,314.0,28.0,35.0
2024-11-25 14:00:00,9.5,9.5,293.0,21.9,42.0
2024-11-25 15:00:00,6.8,6.8,275.0,17.4,48.0
2024-11-25 16:00:00,6.4,6.3,263.0,15.2,51.0
2024-11-25 17:00:00,6.7,6.6,254.0,14.7,53.0
2024-11-25 18:00:00,7.1,7.0,259.0,17.1,51.0
2024-11-25 19:00:00,7.6,7.6,285.0,24.1,43.0
2024-11-25 20:00:00,8.4,8.4,325.0,34.0,32.0
2024-11-25 21:00:00,12.0,12.0,371.0,43.0,21.0
2024-11-25 22:00:00,22.6,22.6,431.0,50.3,13.0
2024-11-25 23:00:00,27.8,27.8,498.0,56.8,5.0
2024-11-26 00:00:00,29.7,29.6,540.0,61.9,0.0
2024-11-26 01:00:00,27.1,27.1,544.0,62.1,0.0
2024-11-26 02:00:00,24.1,24.0,523.0,62.3,0.0
2024-11-26 03:00:00,22.5,22.5,489.0,61.9,0.0
2024-11-26 04:00:00,23.0,22.9,439.0,60.8,0.0
2024-11-26 05:00:00,24.0,23.9,376.0,59.1,1.0
2024-11-26 06:00:00,23.7,23.6,319.0,56.7,2.0
2024-11-26 07:00:00,21.1,21.0,272.0,53.0,6.0
